Uniprot_A	Uniprot_B	Gene_A	Gene_B	pmid:method:quality:type	taxid	high_quality
A0A8I5Y832	Q9QZM5	Ktn1	Abi1	23414517:0006:HT:binary	10116	True
A6KN31	P60192	Actn2	Snapin	23414517:0006:HT:binary	10116	True
O08679	O08679	Mark2	Mark2	16472737:0114:LC:binary	10116	True
O35543	O35543	Hpgds	Hpgds	9323136:0114:LC:binary	10116	True
O54924	O54924	Exoc8	Exoc8	15920473:0114:LC:binary	10116	True
O55164	O55164	Mpdz	Mpdz	15863617:0114:LC:binary	10116	True
O70351	O70351	Hsd17b10	Hsd17b10	11023795:0114:LC:binary	10116	True
O88618	O88618	Ftcd	Ftcd	15272307:0114:LC:binary	10116	True
P00502	P00502	Gsta1	Gsta1	11119643:0114:LC:binary	10116	True
P00763	P00763	Prss2	Prss2	10429182:0114:LC:binary|3112942:0114:LC:binary	10116	True
P01161	P18910	Nppa	Npr1	15117952:0114:LC:binary	10116	True
P02625	P02625	Pvalb	Pvalb	8289291:0114:LC:binary	10116	True
P02767	P02767	Ttr	Ttr	11468389:0114:LC:binary|11995998:0114:LC:binary|9511961:0114:LC:binary	10116	True
P04166	P04166	Cyb5b	Cyb5b	11583146:0114:LC:binary|12269800:0114:LC:binary|9484218:0114:LC:binary	10116	True
P04631	P04631	S100b	S100b	12470955:0114:LC:binary|15823027:0114:LC:binary|8589606:0114:LC:binary|8794737:0114:LC:binary|9485423:0114:LC:binary	10116	True
P04692	P04692	Tpm1	Tpm1	12534273:0114:LC:binary|16365313:0114:LC:binary|9601044:0114:LC:binary	10116	True
P04764	P48675	Eno1	Des	23414517:0006:HT:binary	10116	True
P04905	P04905	Gstm1	Gstm1	12484753:0114:LC:binary|1420139:0114:LC:binary|15299462:0114:LC:binary	10116	True
P05504	P16391	Mt-atp6		11163232:0114:LC:binary	10116	True
P05554	P05554	Cebpa	Cebpa	12578822:0114:LC:binary	10116	True
P05708	P05708	Hk1	Hk1	9665168:0114:LC:binary	10116	True
P05710	P05710	Prlr	Prlr	10089521:0114:LC:binary|10966654:0114:LC:binary	10116	True
