Uniprot_A	Uniprot_B	Gene_A	Gene_B	pmid:method:quality:type	taxid	high_quality	in_pdb_source
A0A023PXA5	P33302	YAL019W-A	PDR5	23831759:0112:HT:binary	4932	True	False
A0A023PYF7	P39743	YER172C-A	RVS167	19841731:0398:HT:binary	4932	True	False
A0A0G3F489	A0A0G3F489	atp9	atp9	35468906:0114:LC:binary	4932	True	True
A0A0G3F489	P00854	atp9	ATP6	35468906:0114:LC:binary	4932	True	True
A0A0G3F489	P00856	atp9	ATP8	35468906:0114:LC:binary	4932	True	True
A0A0G3F489	P30902	atp9	ATP7	35468906:0114:LC:binary	4932	True	True
A0A0G3F489	P38077	atp9	ATP3	35468906:0114:LC:binary	4932	True	True
A0A0G3F489	Q12165	atp9	ATP16	35468906:0114:LC:binary	4932	True	True
A0A6A5Q536	A0A6A5Q536	HHT2	HHT2	38448592:0114:LC:binary	4932	True	True
A0A6A5Q536	P02309	HHT2	HHF1	38448592:0114:LC:binary	4932	True	True
A0A6A5Q536	P04911	HHT2	HTA1	38448592:0114:LC:binary	4932	True	True
A0A6A5Q536	P29469	HHT2	MCM2	38448592:0114:LC:binary	4932	True	True
A0A6A5Q536	P32558	HHT2	SPT16	38448592:0114:LC:binary	4932	True	True
A0A6A5Q536	P53840	HHT2	TOF1	38448592:0114:LC:binary	4932	True	True
A0A6B7JGY6	A0A6B7JGY6	PCNA	PCNA	38427736:0114:LC:binary	4932	True	True
A0A6B7JGY6	P38629	PCNA	RFC3	38427736:0114:LC:binary	4932	True	True
A0A6B7JGY6	P40339	PCNA	RFC4	38427736:0114:LC:binary	4932	True	True
A0A6B7JGY6	Q12050	PCNA	ELG1	38427736:0114:LC:binary	4932	True	True
A2P2R3	P04821	YMR084W	CDC25	19841731:0018:HT:binary	4932	True	False
A2P2R3	P38753	YMR084W	HSE1	19841731:0018:HT:binary	4932	True	False
A6ZKP4	A6ZKP4	SCY_0164	SCY_0164	PDB_3E2V:0114:LC:binary	4932	True	True
A7A1Y4	A7A1Y4	SCY_1694	SCY_1694	31152065:0114:LC:binary	4932	True	True
B3LH69	P16140	SCRG_00677	VMA2	35469063:0114:LC:binary	4932	True	True
B3LH69	P32610	SCRG_00677	VMA8	35469063:0114:LC:binary	4932	True	True
B3LH69	P39111	SCRG_00677	VMA7	35469063:0114:LC:binary	4932	True	True
B3LH69	P48836	SCRG_00677	VMA10	35469063:0114:LC:binary	4932	True	True
B3LL85	B3LL85	SCRG_02514	SCRG_02514	29097521:0114:LC:binary	4932	True	True
B3LMD0	P05737	SCRG_02137	RPL7A	37595043:0114:LC:binary	4932	True	True
B3LMD0	P05738	SCRG_02137	RPL9A	37595043:0114:LC:binary	4932	True	True
B3LMD0	P05744	SCRG_02137	RPL33A	37595043:0114:LC:binary	4932	True	True
B3LMD0	P10664	SCRG_02137	RPL4A	37595043:0114:LC:binary	4932	True	True
